Type Code,Description,Examples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Not available (default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 19,Reserved for future use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Wing in ground (WIG), all ships of this type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Wing in ground (WIG), Hazardous category A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Wing in ground (WIG), Hazardous category B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Wing in ground (WIG), Hazardous category C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Wing in ground (WIG), Hazardous category D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Wing in ground (WIG), Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Wing in ground (WIG), Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Wing in ground (WIG), Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Wing in ground (WIG), Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Search and Rescue Aircraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Fishing,Fishing Vessel,Trawler,Fishery Protection/Research,Fish Carrier,Fish Factory,Factory Trawler,Fish Storage Barge,Fishery Research Vessel,Fishery Patrol Vessel,Fishery Support Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Towing,Towing Vessel,Tug/Tender,Tug/Supply Vessel,Tug/Fire Fighting Vessel,Tug,Tug/Pilot Ship,Anchor Handling Salvage Tug,Towing/Pushing,Tug/Ice Breaker,Tractor Tug,Tug/Support,Articulated Pusher Tug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Towing: length exceeds 200m or breadth exceeds 25m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Dredging or underwater ops,Suction Hopper Dredger,Dredger,Drill Ship,Grab Hopper Dredger,Grab Dredger,Sand Suction Dredger,Hopper Dredger,Cutter Suction Dredger,Cutter Suction Hopper Dredger,Suction Dredger,Bucket Dredger,Trailing Suction Hopper Dredge,Trailing Suction Dredger,Inland Dredger,Drilling Jack Up,Bucket Ladder Dredger,Drill Barge,Bucket Hopper Dredger,Bucket Dredger Pontoon,Bucket Wheel Suction Dredger,Dredging Pontoon,Backhoe Dredger,Suction Dredger Pontoon,Water Jet Dredging Pontoon,Grab Dredger Pontoon,Kelp Dredger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Diving ops,Diving Support Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Military ops,Naval/Naval Auxiliary Vessel,Naval Auxiliary Tug,Logistics Naval Vessel,Mine Hunter,Minesweeper,Combat Vessel,Command Vessel,Naval Salvage Vessel,Torpedo Recovery Vessel,Naval Research Vessel,Naval Patrol Vessel,Troopship,Radar Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Sailing,Sailing Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Pleasure Craft,Yacht,Museum Ship,Exhibition Ship,Floating Hotel/Restaurant,Theatre Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Reserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Reserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"High speed craft (HSC), all ships of this type",Hydrofoil,Hovercraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"High speed craft (HSC), Hazardous category A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"High speed craft (HSC), Hazardous category B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"High speed craft (HSC), Hazardous category C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"High speed craft (HSC), Hazardous category D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"High speed craft (HSC), Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"High speed craft (HSC), Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"High speed craft (HSC), Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"High speed craft (HSC), Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"High speed craft (HSC), No additional information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Pilot Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Search and Rescue vessel,Salvage/Rescue Vessel,Offshore Safety Vessel,Standby Safety Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Tug,Icebreaker,Inland Tug,Pusher Tug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Port Tender,Tender,Crew Boat,Pilot Ship,Supply Tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Anti-pollution equipment,Pollution Control Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Law Enforcement,Patrol Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Spare - Local Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Spare - Local Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Medical Transport,Hospital Ship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Noncombatant ship according to RR Resolution No. 18,Multi Purpose Offshore Vessel,Barge Carrier,Heavy Lift Vessel,Special Vessel,Maintenance Vessel,Pipe Layer,Waste Disposal Vessel,Supply Vessel,Training Ship,Floating Storage/Production,Radio Ship,Research/Survey Vessel,Repair Ship,Support Vessel,Fire Fighting Tractor Tug,Landing Craft,Floating Crane,Fire Fighting/Supply Vessel,Whaler,Multi-Purpose Vessel,Tank-Cleaning Vessel,Mining Vessel,Fire Fighting Vessel,Paddle Ship,Anchor Handling Vessel,Nuclear Fuel Carrier,Sludge Carrier,Whale Factory,Utility Vessel,Work Vessel,Platform,Mission Ship,Buoy-Laying Vessel,Well Stimulation Vessel,Motor Hopper,Cable Layer,Anchor Handling/Fire Fighting,Crane Ship,Inland Supply Vessel,Offshore Supply Ship,Trenching Support Vessel,Offshore Construction Jack Up,Pile Driving Vessel,Replenishment Vessel,Construction Support Vessel,Pipelay Crane Vessel,Crane Barge,Work Pontoon,Production Testing Vessel,Floating Sheerleg,Mooring Vessel,Diving Support Platform,Support Jack Up,Sealer,Trans Shipment Vessel,Floating Linkspan,Crane Jack Up,Pumping Platform,Air Cushion Vessel,Power Station Vessel,Supply Jack Up,Radar Platform,Jacket Launching Pontoon,Pipe Layer Platform,Pipe Burying Vessel,Air Cushion Patrol Vessel,Air Cushion Work Vessel,Pearl Shells Carrier,Steam Supply Pontoon,Incinerator,Jack Up Barge,Desalination Pontoon,Grain Elevating Pontoon
60,"Passenger, all ships of this type",Passengers Ship,Inland Passengers Ship,Inland Ferry,Floating Hotel,Ferry,Ro-Ro/Passenger Ship,Accommodation Ship,Accommodation Barge,Accommodation Jack Up,Accommodation Vessel,Passengers Landing Craft,Houseboat,Accommodation Platform,Air Cushion Passenger Ship,Air Cushion Ro-Ro/Passenger Sh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Passenger, Hazardous category A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Passenger, Hazardous category B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Passenger, Hazardous category C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Passenger, Hazardous category D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Passenger, Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"Passenger, Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Passenger, Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Passenger, Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Passenger, No additional information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"Cargo, all ships of this type",Passenger/Cargo Ship,Livestock Carrier,Bulk Carrier,Ore Carrier,General Cargo,Wood Chips Carrier,Container Ship,Ro-Ro Cargo,Reefer,Heavy Load Carrier,Barge,Ro-Ro/Container Carrier,Inland Cargo,Cement Carrier,Reefer/Containership,Vegetable/Animal Oil Tanker,Obo Carrier,Vehicles Carrier,Inland Ro-Ro Cargo Ship,Rail/Vehicles Carrier,Pallet Carrier,Cargo Barge,Hopper Barge,Deck Cargo Ship,Cargo/Containership,Aggregates Carrier,Limestone Carrier,Ore/Oil Carrier,Self Discharging Bulk Carrier,Deck Cargo Pontoon,Bulk Carrier With Vehicle Deck,Pipe Carrier,Cement Barge,Stone Carrier,Bulk Storage Barge,Aggregates Barge,Timber Carrier,Bulker,Trans Shipment Barge,Powder Carrier,Cabu Carrier,Vehicle Carrier,Cargo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Cargo, Hazardous category A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Cargo, Hazardous category B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Cargo, Hazardous category C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"Cargo, Hazardous category D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Cargo, Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Cargo, Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"Cargo, Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Cargo, Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"Cargo, No additional information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"Tanker, all ships of this type",Tanker,Asphalt/Bitumen Tanker,Chemical Tanker,Crude Oil Tanker,Inland Tanker,Fruit Juice Tanker,Bunkering Tanker,Wine Tanker,Oil Products Tanker,Oil/Chemical Tanker,Water Tanker,Tank Barge,Edible Oil Tanker,Lpg/Chemical Tanker,Shuttle Tanker,Co2 Tanker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"Tanker, Hazardous category A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"Tanker, Hazardous category B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Tanker, Hazardous category C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Tanker, Hazardous category D",Lng Tanker,Lpg Tanker,Gas Carrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Tanker, Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Tanker, Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Tanker, Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"Tanker, Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Tanker, No additional information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"Other Type, all ships of this type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Other Type, Hazardous category A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Other Type, Hazardous category B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"Other Type, Hazardous category C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Other Type, Hazardous category D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Other Type, Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"Other Type, Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Other Type, Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Other Type, Reserved for future use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"Other Type, no additional information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
